time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6,x,y,z
24.33,0.721546773273967,0.740760207269625,-0.116897972814001,-1.47530256541431e-16,0.946934092335876,0.721546773273966,-1.00596410897413,-0.590428099516891,0.410247866201187,1.52620052406399e-17,0.180180233319066,-1.00596410897413,-0.307980547522582,-0.180762283405289,0.125599274691283,4.67253323291844e-18,0.0551630087150354,-0.307980547522582,0,0,0,0,0,0,0.35408469273129,0.31152663222061,0.298965384570872
24.34,0.711472027583665,0.73484706096751,-0.112789334260106,-1.47377407329265e-16,0.948738600084129,0.711472027583665,-1.00895555255484,-0.592183860316321,0.411467823588234,1.53073899886628e-17,0.180716036731459,-1.00895555255484,-0.29029471031968,-0.170381977433217,0.118386714213483,4.40421218878989e-18,0.051995263220704,-0.29029471031968,0,0,0,0,0,0,0.356576088164263,0.307401198943108,0.30032615875127
24.35,0.701368253074856,0.728916876850636,-0.108668857300899,-1.47224117705781e-16,0.95054830724183,0.701368253074856,-1.01176974217107,-0.593835585871905,0.412615494041729,1.53500855245055e-17,0.181220091833558,-1.01176974217107,-0.27253057028177,-0.15995571336617,0.111142220617301,4.13470317158396e-18,0.04881349274978,-0.272530570281771,0,0,0,0,0,0,0.359022333179106,0.303241047789218,0.301684816651839
24.36,0.691237226120759,0.722970697521473,-0.104537266369108,-1.4707041462126e-16,0.952362895639235,0.691237226120759,-1.01440591926412,-0.595382830964598,0.413690568209585,1.53900803396786e-17,0.181692262758403,-1.01440591926412,-0.254693021336039,-0.149486363585086,0.103867789722637,3.86408042961803e-18,0.0456185738633006,-0.25469302133604,0,0,0,0,0,0,0.361422339817318,0.299047433369941,0.303041032700436
24.37,0.681080730435486,0.717009569891063,-0.10039528889119,-1.46916325137358e-16,0.954182045791762,0.681080730435486,-1.01686337421453,-0.596825179099163,0.414692756697919,1.54273636681764e-17,0.182132422404643,-1.01686337421453,-0.236786957409677,-0.138976800470899,0.0965654173493882,3.59241821120939e-18,0.0424113831223026,-0.236786957409678,0,0,0,0,0,0,0.36377506111234,0.294821642083497,0.304394484146092
24.38,0.670900556584649,0.71103454489178,-0.0962436550877509,-1.4676187641968e-16,0.95600543698764,0.670900556584649,-1.01914144634213,-0.598162242504175,0.415621790071044,1.54619254864757e-17,0.182540452436537,-1.01914144634213,-0.218817272429872,-0.128429896404547,0.0892370993174551,3.31979076467542e-18,0.0391927970878235,-0.218817272429874,0,0,0,0,0,0,0.366079492268255,0.290564990795171,0.305744851241258
24.39,0.660698501495961,0.705046677190095,-0.0920830977739622,-1.46607095730349e-16,0.95783274737557,0.660698501495961,-1.02123952390604,-0.599393662132017,0.416477418851473,1.54937565135372e-17,0.182916243283958,-1.02123952390604,-0.200788860323809,-0.117848523766964,0.0818848314467352,3.04627233833341e-18,0.0359636923208997,-0.20078886032381,0,0,0,0,0,0,0.368334671780071,0.2862788254663,0.307091817421093
24.4,0.65047636796985,0.699047024899335,-0.0879143521599791,-1.46452010420591e-16,0.959663654052382,0.65047636796985,-1.02315704410461,-0.60051910765888,0.417259413519916,1.55228482108041e-17,0.183259694142384,-1.02315704410461,-0.18270661501868,-0.107235554939086,0.0745106095571285,2.77193718050074e-18,0.0327249453825686,-0.182706615018681,0,0,0,0,0,0,0.370539682493308,0.281964519735078,0.308435069479641
24.41,0.640235964190065,0.693036649292446,-0.0837381556513584,-1.46296647923302e-16,0.961497833150684,0.640235964190065,-1.0248934930755,-0.601538277484767,0.417967564515285,1.55491927822033e-17,0.183570712972908,-1.0248934930755,-0.16457543044167,-0.0965938623018498,0.0671164294685325,2.49685953949471e-18,0.0294774328338672,-0.16457543044167,0,0,0,0,0,0,0.372693652600725,0.277623473451963,0.309774297742701
24.42,0.629979103234281,0.687016614514755,-0.0795552476494775,-1.46141035745627e-16,0.963334959926529,0.62997910323428,-1.02644840589563,-0.602450898733489,0.41860168223469,1.55727831741445e-17,0.18384921650223,-1.02644840589563,-0.146400200519968,-0.0859263182361909,0.0597042870008478,2.22111366363267e-18,0.0262220312358325,-0.146400200519969,0,0,0,0,0,0,0.374795756574174,0.27325711117261,0.311109196237219
24.43,0.619707602584705,0.680987987296733,-0.0753663693519511,-1.45985201461536e-16,0.965174708847059,0.619707602584705,-1.02782136658118,-0.603256727252666,0.419161597033438,1.55936130755208e-17,0.184095130222663,-1.02782136658118,-0.128185819180761,-0.0752357951230447,0.0522761779739718,1.94477380123193e-18,0.0229596171495014,-0.128185819180762,0,0,0,0,0,0,0.376845216029718,0.268866880611323,0.312439462857045
24.44,0.609423283638692,0.674951836666754,-0.0711722635530502,-1.45829172704397e-16,0.967016753678171,0.609423283638692,-1.02901200808761,-0.603955547613728,0.419647159225038,1.56116769177084e-17,0.18430838839213,-1.02901200808761,-0.109937180351239,-0.0645251653433472,0.0448340982078035,1.66791420060986e-18,0.0196910671359111,-0.10993718035124,0,0,0,0,0,0,0.378841300524282,0.264454251058165,0.313764799524873
